epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3863,2.09476,2.79891,1.58751,0.5622,0.39808,0.39914,0.21555,1.86645,2.06882,1.44168,0.00032,0.00032,0.00032
2,26.0073,1.3052,1.06101,1.08741,0.83163,0.75667,0.82788,0.53859,1.31964,1.02959,1.08691,0.00065406,0.00065406,0.00065406
3,36.7102,1.17561,0.82752,1.02034,0.85992,0.84312,0.90978,0.62517,1.12667,0.85184,1.02047,0.000982,0.000982,0.000982
4,47.4037,1.11282,0.75349,1.00397,0.86762,0.88136,0.92959,0.66237,1.04258,0.72586,0.99048,0.00130382,0.00130382,0.00130382
5,58.2243,1.09725,0.71603,0.99224,0.85186,0.88581,0.93395,0.65493,1.05668,0.83567,0.98851,0.00161952,0.00161952,0.00161952
6,69.0244,1.10229,0.69841,0.98607,0.84075,0.90713,0.92873,0.65414,1.04039,0.74841,0.99202,0.00191,0.00191,0.00191
7,79.8971,1.05335,0.66082,0.97178,0.85209,0.90994,0.95105,0.68112,1.06203,0.63787,0.989,0.001892,0.001892,0.001892
8,91.0144,1.04858,0.62808,0.97153,0.85877,0.928,0.96015,0.68133,1.04449,0.62934,0.9842,0.001874,0.001874,0.001874
9,102.441,1.02172,0.59707,0.96312,0.88547,0.89861,0.95771,0.69062,1.02482,0.61325,0.96782,0.001856,0.001856,0.001856
10,113.828,1.03455,0.59032,0.95921,0.87574,0.93917,0.96334,0.69826,1.00607,0.56652,0.96585,0.001838,0.001838,0.001838
11,124.974,1.00829,0.58723,0.95598,0.90659,0.89861,0.96073,0.70553,0.9862,0.56364,0.95439,0.00182,0.00182,0.00182
12,136.055,1.02058,0.57319,0.95897,0.88552,0.92956,0.96528,0.68127,1.07149,0.58611,0.98506,0.001802,0.001802,0.001802
13,146.966,1.0233,0.59269,0.95687,0.89291,0.91889,0.96377,0.70309,1.01154,0.56142,0.96767,0.001784,0.001784,0.001784
14,157.919,1.00673,0.56713,0.95692,0.90588,0.91418,0.95818,0.69257,1.02692,0.5827,0.97745,0.001766,0.001766,0.001766
15,168.915,0.9846,0.56165,0.94742,0.91137,0.92529,0.96953,0.71736,0.97954,0.52865,0.95195,0.001748,0.001748,0.001748
16,180.122,0.98804,0.54388,0.9471,0.91035,0.91249,0.97122,0.71954,0.98922,0.52789,0.96079,0.00173,0.00173,0.00173
17,191.225,0.98861,0.55141,0.94912,0.90482,0.90181,0.96755,0.69845,1.0084,0.60483,0.96634,0.001712,0.001712,0.001712
18,202.28,0.97023,0.53515,0.93244,0.91181,0.90288,0.95937,0.70982,0.996,0.56415,0.95862,0.001694,0.001694,0.001694
19,213.475,0.98443,0.52823,0.94592,0.91997,0.93241,0.97466,0.71907,1.00065,0.51117,0.96096,0.001676,0.001676,0.001676
20,224.556,0.97193,0.52368,0.93995,0.88403,0.93703,0.96646,0.728,0.96816,0.52086,0.95453,0.001658,0.001658,0.001658
21,235.653,0.94218,0.51596,0.93592,0.9175,0.92209,0.96801,0.71969,0.99323,0.51412,0.96212,0.00164,0.00164,0.00164
22,246.683,0.96277,0.521,0.94017,0.90064,0.9287,0.96281,0.6956,1.05616,0.56077,0.99061,0.001622,0.001622,0.001622
23,257.631,0.94738,0.51623,0.9388,0.91922,0.91569,0.97366,0.72888,0.96906,0.50239,0.95209,0.001604,0.001604,0.001604
24,268.839,0.95104,0.50302,0.93415,0.92045,0.90928,0.96843,0.71018,1.02086,0.5256,0.97404,0.001586,0.001586,0.001586
25,279.838,0.9416,0.50488,0.93537,0.90787,0.915,0.97097,0.72022,0.98246,0.53738,0.95619,0.001568,0.001568,0.001568
26,290.899,0.93846,0.50847,0.93108,0.9202,0.91063,0.96791,0.72978,0.9728,0.50467,0.9551,0.00155,0.00155,0.00155
27,302.085,0.93755,0.51244,0.92988,0.91646,0.9132,0.96504,0.71762,0.99276,0.5204,0.96741,0.001532,0.001532,0.001532
28,313.168,0.93206,0.49845,0.93072,0.91395,0.92423,0.97612,0.72561,0.9808,0.49917,0.95417,0.001514,0.001514,0.001514
29,324.144,0.92946,0.49213,0.93146,0.90874,0.92453,0.96563,0.71923,0.96017,0.51554,0.9491,0.001496,0.001496,0.001496
30,335.211,0.92236,0.4958,0.9205,0.90195,0.94252,0.97085,0.71854,1.00051,0.49727,0.96289,0.001478,0.001478,0.001478
31,346.248,0.9181,0.48206,0.92384,0.91453,0.91359,0.96894,0.71839,0.98907,0.53116,0.95999,0.00146,0.00146,0.00146
32,357.251,0.92765,0.4787,0.92539,0.92622,0.92449,0.96695,0.72822,0.98345,0.48227,0.95515,0.001442,0.001442,0.001442
33,368.225,0.90518,0.47379,0.92012,0.90273,0.9349,0.967,0.71175,1.0187,0.50979,0.96435,0.001424,0.001424,0.001424
34,379.248,0.91755,0.47808,0.92269,0.93681,0.91768,0.97066,0.73837,0.95278,0.47427,0.94506,0.001406,0.001406,0.001406
35,390.374,0.89036,0.46368,0.91593,0.9192,0.92743,0.96972,0.73287,0.96306,0.47897,0.94968,0.001388,0.001388,0.001388
36,401.463,0.90508,0.46796,0.91839,0.93384,0.91569,0.96951,0.72501,0.98008,0.49311,0.95481,0.00137,0.00137,0.00137
37,412.486,0.89079,0.4604,0.91171,0.92046,0.93383,0.97387,0.73729,0.96389,0.47156,0.9501,0.001352,0.001352,0.001352
